n.	Descrizione	categoria	Quantità	Costo unitario (IVA incl)	Costo complessivo	Link	Codice
1	Starter Kit Raspberry Pi 5 - 8GB	a	31	€ 134,84	€ 4.180,04	https://www.stemtechstore.it/starter-kit-raspberry-pi-5---8gb/	ST234137
	Raspberry Pi 5 (8 GB RAM)						
	Fan case per RPi5						
	Alimentatore 27 W USB-C						
	Cavo HDMI connettori Micro-HDMI e HDMI 1 m						
	32 GB MicroSD Card Classe A1						
2	Tastiera QWERTY versione Italiana	a	31	€ 25,00	€ 775,00	https://www.stemtechstore.it/tastiera-qwerty-versione-italiana/	ST230511
3	Mouse con cavo Ufficiale Raspberry Pi	a	31	€ 11,84	€ 367,04	https://www.stemtechstore.it/mouse-con-cavo-ufficiale-raspberry-pi/	ST230512
4	Cavo bianco Micro-HDMI verso HDMI 2M	a	1	€ 10,65	€ 10,65	https://www.stemtechstore.it/cavo-bianco-micro-hdmi-verso-hdmi-2m/	ST230530
5	Kit Micro:bit CLUB V2	a	1	€ 197,15	€ 197,15	https://www.stemtechstore.it/kit-micro-bit-club-v2/	ST230543
6	Kit dell'Inventore per micro:bit	a	10	€ 32,05	€ 320,50	https://www.stemtechstore.it/kit-dell-inventore-per-micro-bit/	ST230592
7	"Monitor desktop Philips 24"" LCD Full HD serie V Line - Multimediale"	a	31	€ 140,32	€ 4.349,92	https://www.stemtechstore.it/monitor-desktop-philips-24-lcd-full-hd-serie-v-line-multimediale/	ST230788
8	D-Link GO-SW-8G - Switch - unmanaged - 8x 10/100/1000 - desktop	a	8	€ 27,57	€ 220,56	https://www.campustore.it/d-link-go-sw-8g-switch-unmanaged-8-x-10-100-1000-desktop.html	305576
9	Cavo di rete Patch in Rame Cat. 6A UTP 2mt	a	40	€ 5,51	€ 220,40	https://www.campustore.it/cavo-di-rete-patch-in-rame-cat-6a-grigio-utp-2-mt.html	315320
10	Cavo di rete Patch in Rame Cat. 6A Grigio UTP 5 mt	a	2	€ 10,25	€ 20,50	https://www.campustore.it/cavo-di-rete-patch-in-rame-cat-6a-grigio-utp-5-mt.html	315316
11	WD My Cloud EX2 Ultra WDBVBZ0040JCH - Server NAS - 2 bay - 2x 2TB	a	1	€ 402,60	€ 402,60	https://www.campustore.it/wd-my-cloud-ex2-ultra-wdbvbz0040jch-server-nas-2-bay-2x-2tb.html	310916
12	Extrema Workstation W200 i9-13900K 64GB/SSD1TB RTX 4060TI 8GB 	a	1	€ 2.867,00	€ 2.867,00		351034
13	Scrivania Practika P3 - 180x80x76H cm	b	7	€ 367,22	€ 2.570,54	https://www.campustore.it/scrivania-pratika-p3-dim-180x80x73-cm.html	324443
14	Multipresa 1,5m 3G1 S17 4P40+8P17/11, con interruttore, colore bianco	a	9	€ 46,85	€ 421,63	https://www.fanton.com/it-it/42132	316439
15	ThinkPad adattatore - USB 3.0 (M) - Giga Ethernet RJ 45 (F)	a	7	€ 22,69	€ 158,83	https://www.campustore.it/lenovo-thinkpad-usb-3-0-ethernet-adapter.html	331146
